,workerid,education,age,language,gender,n_fails,condition,total_rt,delayBlue,delayPink,goal,goal_bot,goal_dummy,goal_dummy_bot,intention,intention_bot,knowledge,knowledge_bot,goal_rt,goal_bot_rt,goal_dummy_rt,goal_dummy_bot_rt,intention_rt,intention_bot_rt,knowledge_rt,knowledge_bot_rt,cause_rt,delay_rt,attention_rt,order,attention,cause_blue,cause_pink,cause_orange,cause_both,cause_bothOrange,cause_pb,cause_bp,cause_ob,cause_blue_norm,cause_pink_norm,cause_orange_norm,cause_both_norm,cause_bothOrange_norm,cause_bp_norm,cause_pb_norm,cause_ob_norm,min,flat,max
1,0,3,32,English,Female,0,condition 1,3.018033333,7,3,7,NA,1,NA,6,NA,6,NA,3.136,NA,3.733,NA,2.858,NA,5.436,NA,21.389,8.972,12.743,"[1, 'How likely is it that Brock knew how to open the door?'] [2, 'How likely is it that Brock intentionally opened the door?'] [3, 'Was Brock aiming to clean the room?'] [4, 'Was Brock aiming to open the door?']",3,2,4,1,3,1,1,4,1,0.111111111,0.333333333,0,0.222222222,0,0.333333333,0,0,1,FALSE,1.5
2,1,2,65,ENGLISH,Female,0,condition 1,4.128883333,6,4,7,NA,1,NA,7,NA,6,NA,3.432,NA,5.16,NA,8.399,NA,8.773,NA,28.758,17.319,16.016,"[1, 'How likely is it that Brock knew how to open the door?'] [2, 'How likely is it that Brock intentionally opened the door?'] [3, 'Was Brock aiming to open the door?'] [4, 'Was Brock aiming to clean the room?']",2,1,1,1,7,1,1,7,1,0,0,0,0.5,0,0.5,0,0,1,FALSE,2
3,2,3,33,English,Male,0,condition 2,3.951,1,1,6,NA,1,NA,7,NA,6,NA,3.521,NA,6.333,NA,8.287,NA,2.16,NA,50.127,13.029,21.098,"[1, 'How likely is it that Brock-bot intentionally opened the door?'] [2, 'How likely is it that Brock-bot knew how to open the door?'] [3, 'Was Brock-bot aiming to clean the room?'] [4, 'Was Brock-bot aiming to open the door?']",3,1,1,1,7,1,1,7,1,0,0,0,0.5,0,0.5,0,0,1,FALSE,2
4,3,5,28,ENGLISH,Male,0,condition 2,3.67155,2,2,6,NA,6,NA,5,NA,6,NA,5.182,NA,9.353,NA,2.111,NA,4.791,NA,14.288,10.616,28.09,"[1, 'Was Brock-bot aiming to clean the room?'] [2, 'Was Brock-bot aiming to open the door?'] [3, 'How likely is it that Brock-bot intentionally opened the door?'] [4, 'How likely is it that Brock-bot knew how to open the door?']",3,5,6,5,6,6,6,5,6,0,0.5,0,0.5,0.5,0,0.5,0.5,5,FALSE,1
5,4,4,53,English,Male,0,condition 2,4.162683333,20,10,6,NA,3,NA,5,NA,3,NA,2.6,NA,13.338,NA,4.228,NA,5.68,NA,38.782,15.685,18.312,"[1, 'Was Brock-bot aiming to clean the room?'] [2, 'Was Brock-bot aiming to open the door?'] [3, 'How likely is it that Brock-bot intentionally opened the door?'] [4, 'How likely is it that Brock-bot knew how to open the door?']",3,2,2,2,5,1,1,6,1,0.090909091,0.090909091,0.166666667,0.363636364,0,0.454545455,0,0,1,FALSE,1.833333333
6,5,3,35,English,Male,0,condition 2,3.9957,3,3,7,NA,7,NA,7,NA,7,NA,7.936,NA,4.407,NA,4.383,NA,4.732,NA,27.794,10.084,23.745,"[1, 'Was Brock-bot aiming to open the door?'] [2, 'How likely is it that Brock-bot intentionally opened the door?'] [3, 'Was Brock-bot aiming to clean the room?'] [4, 'How likely is it that Brock-bot knew how to open the door?']",3,4,4,1,7,1,1,1,7,0.25,0.25,0,0.5,0,0,0,1,1,FALSE,2
7,6,3,26,English,Male,0,condition 1,3.759266667,15,5,7,NA,1,NA,7,NA,6,NA,7.502,NA,3.988,NA,4.306,NA,6.982,NA,48.39,23.511,14.094,"[1, 'Was Brock aiming to open the door?'] [2, 'How likely is it that Brock intentionally opened the door?'] [3, 'Was Brock aiming to clean the room?'] [4, 'How likely is it that Brock knew how to open the door?']",3,2,2,1,4,1,1,7,1,0.090909091,0.090909091,0,0.272727273,0,0.545454545,0,0,1,FALSE,1.833333333
8,7,2,31,english,Female,0,condition 1,4.94965,1,2,7,NA,1,NA,7,NA,7,NA,1.936,NA,5.668,NA,2.714,NA,3.565,NA,128.596,19.149,21.295,"[1, 'Was Brock aiming to clean the room?'] [2, 'Was Brock aiming to open the door?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'How likely is it that Brock knew how to open the door?']",3,1,1,1,1,7,1,7,1,0,0,0,0,1,1,0,0,1,FALSE,1
9,8,5,28,English,Male,0,condition 2,4.1263,2,2,5,NA,5,NA,5,NA,6,NA,5.245,NA,1.845,NA,1.904,NA,1.679,NA,8.921,6.093,3.597,"[1, 'Was Brock-bot aiming to open the door?'] [2, 'Was Brock-bot aiming to clean the room?'] [3, 'How likely is it that Brock-bot knew how to open the door?'] [4, 'How likely is it that Brock-bot intentionally opened the door?']",2,4,4,5,5,5,5,6,5,0,0,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,0.333333333,4,FALSE,1
10,9,3,50,English,Female,0,condition 3,4.349566667,10,5,7,3,1,5,7,2,6,6,3.601,4.633,6.157,3.553,5.699,4.492,3.931,9.699,29.991,20.372,12.658,"[1, 'How likely is it that the vacuum-bot knew how to open the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'Was the vacuum-bot aiming to open the door?'] [4, 'Was the vacuum-bot aiming to clean the room?'] [5, 'How likely is it that Brock knew how to open the door?'] [6, 'How likely is it that Brock intentionally opened the door?'] [7, 'Was Brock aiming to open the door?'] [8, 'What is the likelihood that the vacuum-bot had the intention to open the door?']",3,1,1,1,7,1,1,7,1,0,0,0,0.5,0,0.5,0,0,1,FALSE,2
